group,model,category,version,filename,raw_sha256,ingested_sha256,normalized_sha256,lint_status,violations,dedup_class,representative,cross_model_dup_of
variants,qw,sb,2,qpsk_sb_qw_02.sv,2c1dafc7dbfc15d3740d8e8ec84d97182e43d99610dfe244e7338152fba86f80,2c1dafc7dbfc15d3740d8e8ec84d97182e43d99610dfe244e7338152fba86f80,d00ea5e6bbdae94653d7f229bbc9fec58d468266863f21053e11aa39dc5625bd,OK,,unique,qpsk_sb_qw_02.sv,
variants,qw,sb,3,qpsk_sb_qw_03.sv,7c204c9f5264d14a48a1bfaf6abf1f3cab4abab0a28d865a6a288dae7e6c5d7f,7c204c9f5264d14a48a1bfaf6abf1f3cab4abab0a28d865a6a288dae7e6c5d7f,10153284cec1124e55441ca5f248d7d8bfc83bc7e3c44577cc5ddcc4d48ead08,OK,,unique,qpsk_sb_qw_03.sv,
variants,qw,sb,4,qpsk_sb_qw_04.sv,3311f8a5bf72f34327f73089df7db981b54a4205f94469fda6d26bf2e0ff46a3,3311f8a5bf72f34327f73089df7db981b54a4205f94469fda6d26bf2e0ff46a3,a4779627c7c0c76298f03c53a941d622811997232467c834e469d844e4a9efe1,OK,,unique,qpsk_sb_qw_04.sv,
variants,qw,sb,5,qpsk_sb_qw_05.sv,23a83f15614f6e70d40a48ad7d820611ebd8d2c17bf1092b5f2e2bd528e6f872,23a83f15614f6e70d40a48ad7d820611ebd8d2c17bf1092b5f2e2bd528e6f872,81a1326b63f67b834ce33b43127a9d9142fa7021a267ee68c13d67bed158b3df,OK,,unique,qpsk_sb_qw_05.sv,
variants,qw,seq,1,qpsk_seq_qw_01.sv,bf9cdf2b3bb39b2f167820e76c51e7ad726a600def57eb744867542db9792276,bf9cdf2b3bb39b2f167820e76c51e7ad726a600def57eb744867542db9792276,1b4fb1f65536d6cd45ad351db64a4c6c2f20d35203cc31e864fd50d398f0220d,OK,,unique,qpsk_seq_qw_01.sv,
variants,qw,seq,2,qpsk_seq_qw_02.sv,1b16dcea6afcad042583e627c20434ec6f4d7b7e13d653ca08f520eaf431962d,1b16dcea6afcad042583e627c20434ec6f4d7b7e13d653ca08f520eaf431962d,11203dc85a822bcac6779b56f66fdad9eb0303d68400e0c19b5af155e45efa25,OK,,unique,qpsk_seq_qw_02.sv,
variants,qw,seq,3,qpsk_seq_qw_03.sv,dc387531b7975fe3b6a4f290fdec0d305c60fa2d6a91748734bce9bf962d9c80,dc387531b7975fe3b6a4f290fdec0d305c60fa2d6a91748734bce9bf962d9c80,da0e3adb7574208cd1a671970dbe3021b04a55412a854c42d3e8c2dc7f618f4d,OK,,unique,qpsk_seq_qw_03.sv,
variants,qw,seq,4,qpsk_seq_qw_04.sv,07fc7ac5a8e9a00170675f05cf806b8df8fe15c95bf482ef46366b33bd6b8c9e,07fc7ac5a8e9a00170675f05cf806b8df8fe15c95bf482ef46366b33bd6b8c9e,50bf42853af064aa206af2eca5869038caf209baf2381c865bb16c040397297b,OK,,unique,qpsk_seq_qw_04.sv,
variants,qw,seq,5,qpsk_seq_qw_05.sv,99c94a5f663939fd349b9c69ce0b999ca397a1e6b2e2c30a5d41a34040e26691,99c94a5f663939fd349b9c69ce0b999ca397a1e6b2e2c30a5d41a34040e26691,ff44774068baadd655dac8b4fec4840ea313bf4ebebdfaa821786c82254fc5d5,OK,,unique,qpsk_seq_qw_05.sv,
variants,gm,drv,1,qpsk_drv_gm_01.sv,c8aa366510a1ee3f4d5d22280e929ccb2ee613935e43f3628b8737eced099cdc,c8aa366510a1ee3f4d5d22280e929ccb2ee613935e43f3628b8737eced099cdc,82b123ae830f562b1e50c7edc79d4a14639f82c29b2f9ae9b1d169007fcc41d6,OK,,unique,qpsk_drv_gm_01.sv,
variants,gm,drv,2,qpsk_drv_gm_02.sv,8d1517640ba517b2c9632d0c668c933f2b98a9cd684efbe34e28167bea71f718,8d1517640ba517b2c9632d0c668c933f2b98a9cd684efbe34e28167bea71f718,db30e15ae03d5a4a7901aeb5c3b5aacfc24fd52b444645acc6bd4e3a1b59ff35,OK,,unique,qpsk_drv_gm_02.sv,
variants,gm,drv,3,qpsk_drv_gm_03.sv,58973a23ef3a613e5c052ec8070abec6806859f0041313105be26242102ed245,58973a23ef3a613e5c052ec8070abec6806859f0041313105be26242102ed245,8a37f4431a135714f617f24214a03eac49fc58864cc743b6a45481399931fd16,OK,,unique,qpsk_drv_gm_03.sv,
variants,gm,drv,4,qpsk_drv_gm_04.sv,8a8e56a7904715a07bc1c5737ed4998e1e98c04c64dbc3ba776e388b1db31fca,8a8e56a7904715a07bc1c5737ed4998e1e98c04c64dbc3ba776e388b1db31fca,f6971b5ce8ab29258b2f4de4e06547fce51245ab95515f0f42074da368f56981,OK,,unique,qpsk_drv_gm_04.sv,
variants,gm,drv,5,qpsk_drv_gm_05.sv,cdb00843fab9d783277e966f14d8ffe5ed660ebcd588c07bad36f74e466bca77,cdb00843fab9d783277e966f14d8ffe5ed660ebcd588c07bad36f74e466bca77,e527ec0d3d3e2cd2db60a133d06cac0a702fee51b3977601e73c5c81f23e66af,OK,,unique,qpsk_drv_gm_05.sv,
variants,gm,sb,1,qpsk_sb_gm_01.sv,40b4e04be8860921ca27f236172b24f374d3e515a0170d6fcf4c8c7f7a4c3137,40b4e04be8860921ca27f236172b24f374d3e515a0170d6fcf4c8c7f7a4c3137,462c545e134327a30553ac158df6a0d1ecced16c2d366abe07cc73bbe4cc8687,OK,,unique,qpsk_sb_gm_01.sv,
variants,gm,sb,2,qpsk_sb_gm_02.sv,ce232633c7be07ea227449a86ea8bd81f5916d53afc4bb8ed53233fa7f2f8770,ce232633c7be07ea227449a86ea8bd81f5916d53afc4bb8ed53233fa7f2f8770,f9525929f86f958f7248a3f790573c1827368eb831b326da31bfc9b6d52a39fe,OK,,unique,qpsk_sb_gm_02.sv,
variants,gm,sb,3,qpsk_sb_gm_03.sv,d58264d5975a6a8435441da8267f1802ae630f1529f6db5ad36a3499382e01a6,d58264d5975a6a8435441da8267f1802ae630f1529f6db5ad36a3499382e01a6,e91b503cc55dc4b777a84900cd21b4204c5337edd3632c5f8678c0f24bb8831e,OK,,unique,qpsk_sb_gm_03.sv,
variants,gm,sb,4,qpsk_sb_gm_04.sv,660e70a8572d44f5a7ac26dee032c29b22c4d3e6436376f03d53b4739957187f,660e70a8572d44f5a7ac26dee032c29b22c4d3e6436376f03d53b4739957187f,b2ef76ee3a83524e14022caaac37015b733feae2d1c71c18126e1a9ec0bcda60,OK,,unique,qpsk_sb_gm_04.sv,
variants,gm,sb,5,qpsk_sb_gm_05.sv,b1d973d7c9d708f70008675cecf310582b05cd36f4bf90b87f8e654de0f4d033,b1d973d7c9d708f70008675cecf310582b05cd36f4bf90b87f8e654de0f4d033,7fe6569719723596c1d989673b31581ca67da509f0516b1d259cc1bb14a71670,OK,,unique,qpsk_sb_gm_05.sv,
variants,gm,seq,1,qpsk_seq_gm_01.sv,3a2ac7bd87e8f515a7502562debc7aa7da9cb5d5c6873cc489d63e1ad93ff7b1,3a2ac7bd87e8f515a7502562debc7aa7da9cb5d5c6873cc489d63e1ad93ff7b1,6faca5995860f2b0d3f4b84b202c3c6a3bdf7406795d7d176c361ed8e3a55271,OK,,unique,qpsk_seq_gm_01.sv,
variants,gm,seq,2,qpsk_seq_gm_02.sv,53f50056178ee756d729b53e28195a5c679bc2673f988b9a80adac598641dc50,53f50056178ee756d729b53e28195a5c679bc2673f988b9a80adac598641dc50,f695536af564e4ff99faa0bd6407b4820828f58a3f16c064e32bbaba13067d63,OK,,unique,qpsk_seq_gm_02.sv,
variants,gm,seq,3,qpsk_seq_gm_03.sv,af0b2ae018f2344239c212aa42479e018b843978d95555aebd8d0bcf583654cd,af0b2ae018f2344239c212aa42479e018b843978d95555aebd8d0bcf583654cd,3848c6985474425b1be7f2f719daabcb9d17b6f5f68e26dcade353f2895817eb,OK,,unique,qpsk_seq_gm_03.sv,
variants,gm,seq,4,qpsk_seq_gm_04.sv,652361e518cf0211ccd3e96a5ea740ea4ed107e47b84b14de5491c3180f90572,652361e518cf0211ccd3e96a5ea740ea4ed107e47b84b14de5491c3180f90572,9968a4fdfad3f0120f3319037eb213d21d6990bfdf4adf61f91838a3a4908b77,OK,,unique,qpsk_seq_gm_04.sv,
variants,gm,seq,5,qpsk_seq_gm_05.sv,32def26164d9ac27c3dff80f484b1928d43ed704453a7966d4374c06dcea19ff,32def26164d9ac27c3dff80f484b1928d43ed704453a7966d4374c06dcea19ff,ce0752d29c9fe3b5dc0f6b5c472af3277b8166284790bb903508eece5420299f,OK,,unique,qpsk_seq_gm_05.sv,
